,1,2,3,4,5,6,7,8,9
68,2019.01.25 17:25,t/p,23,0.10,1.14010,1.13010,1.14010,75.00,1000162.07
71,2019.01.30 21:31,t/p,24,0.10,1.14833,1.13833,1.14833,73.09,1000235.15
74,2019.01.31 18:10,s/l,25,0.10,1.14598,1.14598,1.15598,-26.91,1000208.24
77,2019.02.01 15:46,s/l,26,0.10,1.14811,1.14811,1.13811,-24.97,1000183.27
80,2019.02.01 17:10,s/l,27,0.10,1.14599,1.14599,1.15599,-25.00,1000158.27
83,2019.02.04 16:55,s/l,28,0.10,1.14289,1.14289,1.15289,-25.64,1000132.64
86,2019.02.07 10:02,t/p,29,0.10,1.13534,1.14534,1.13534,75.14,1000207.78
89,2019.02.07 17:10,s/l,30,0.10,1.13529,1.13529,1.12529,-25.00,1000182.78
92,2019.02.11 17:40,t/p,31,0.10,1.12773,1.13773,1.12773,75.06,1000257.84
95,2019.02.12 18:05,s/l,32,0.10,1.13046,1.13046,1.12046,-24.97,1000232.87
98,2019.02.13 16:10,s/l,33,0.10,1.12806,1.12806,1.13806,-25.64,1000207.23
101,2019.02.14 15:38,s/l,34,0.10,1.13055,1.13055,1.12055,-24.91,1000182.32
104,2019.02.15 15:33,t/p,35,0.10,1.12345,1.13345,1.12345,75.03,1000257.35
107,2019.02.15 15:40,s/l,36,0.10,1.12586,1.12586,1.11586,-25.00,1000232.35
110,2019.02.15 16:23,s/l,37,0.10,1.12841,1.12841,1.11841,-25.00,1000207.35
113,2019.02.18 03:52,s/l,38,0.10,1.13101,1.13101,1.12101,-24.97,1000182.38
116,2019.02.19 13:25,s/l,39,0.10,1.12856,1.12856,1.13856,-25.64,1000156.74
119,2019.02.20 11:23,t/p,40,0.10,1.13576,1.12576,1.13576,74.36,1000231.10
122,2019.02.20 18:10,s/l,41,0.10,1.13619,1.13619,1.12619,-25.00,1000206.10
125,2019.02.20 21:10,s/l,42,0.10,1.13367,1.13367,1.14367,-25.00,1000181.10
128,2019.02.28 13:15,t/p,43,0.10,1.14120,1.13120,1.14120,68.63,1000249.73
131,2019.02.28 15:35,s/l,44,0.10,1.13907,1.13907,1.14907,-25.00,1000224.73
134,2019.02.28 17:20,s/l,45,0.10,1.13662,1.13662,1.14662,-25.00,1000199.73
137,2019.03.01 04:40,s/l,46,0.10,1.13634,1.13634,1.14634,-25.64,1000174.09
140,2019.03.01 16:25,s/l,47,0.10,1.13884,1.13884,1.12884,-25.00,1000149.09
143,2019.03.01 19:55,s/l,48,0.10,1.13651,1.13651,1.14651,-25.00,1000124.09
146,2019.03.06 15:40,t/p,49,0.10,1.12871,1.13871,1.12871,75.09,1000199.18
149,2019.03.07 15:37,s/l,50,0.10,1.12609,1.12609,1.13609,-26.91,1000172.27
152,2019.03.12 00:10,s/l,51,0.10,1.12696,1.12696,1.11696,-24.91,1000147.36
155,2019.03.15 16:10,t/p,52,0.10,1.13433,1.12433,1.13433,71.81,1000219.17
158,2019.03.20 20:05,t/p,53,0.10,1.13980,1.12980,1.13980,73.09,1000292.26
161,2019.03.21 16:40,s/l,54,0.10,1.13737,1.13737,1.14737,-26.91,1000265.35
164,2019.03.22 10:53,t/p,55,0.10,1.12973,1.13973,1.12973,75.03,1000340.38
167,2019.03.25 17:10,s/l,56,0.10,1.13294,1.13294,1.12294,-24.97,1000315.41
170,2019.03.26 07:50,s/l,57,0.10,1.13065,1.13065,1.14065,-25.64,1000289.77
173,2019.03.28 13:25,t/p,58,0.10,1.12309,1.13309,1.12309,75.12,1000364.89
176,2019.04.03 12:48,s/l,59,0.10,1.12550,1.12550,1.11550,-24.88,1000340.00
179,2019.04.04 12:40,s/l,60,0.10,1.12219,1.12219,1.13219,-26.91,1000313.09
182,2019.04.05 15:31,s/l,61,0.10,1.12453,1.12453,1.11453,-24.97,1000288.12
185,2019.04.05 18:16,s/l,62,0.10,1.12114,1.12114,1.13114,-25.00,1000263.12
188,2019.04.08 11:31,s/l,63,0.10,1.12352,1.12352,1.11352,-24.97,1000238.15
191,2019.04.12 12:10,t/p,64,0.10,1.13121,1.12121,1.13121,71.18,1000309.33
194,2019.04.12 23:08,s/l,65,0.10,1.12931,1.12931,1.13931,-25.00,1000284.33
197,2019.04.15 10:20,s/l,66,0.10,1.13172,1.13172,1.12172,-24.97,1000259.36
200,2019.04.16 04:55,s/l,67,0.10,1.12934,1.12934,1.13934,-25.64,1000233.72
203,2019.04.17 10:40,s/l,68,0.10,1.13231,1.13231,1.12231,-24.97,1000208.75
206,2019.04.17 16:05,s/l,69,0.10,1.12991,1.12991,1.13991,-25.00,1000183.75
209,2019.04.23 15:55,t/p,70,0.10,1.12222,1.13222,1.12222,75.17,1000258.92
212,2019.04.25 11:23,t/p,71,0.10,1.11351,1.12351,1.11351,75.12,1000334.04
215,2019.04.25 17:10,s/l,72,0.10,1.11482,1.11482,1.10482,-25.00,1000309.04
218,2019.04.29 19:35,s/l,73,0.10,1.11752,1.11752,1.10752,-24.94,1000284.10
221,2019.05.01 21:07,t/p,74,0.10,1.12547,1.11547,1.12547,73.73,1000357.82
224,2019.05.02 10:53,s/l,75,0.10,1.12189,1.12189,1.11189,-24.91,1000332.91
227,2019.05.02 16:37,s/l,76,0.10,1.11886,1.11886,1.12886,-25.00,1000307.91
230,2019.05.06 19:55,s/l,77,0.10,1.12065,1.12065,1.11065,-24.94,1000282.97
233,2019.05.07 14:55,s/l,78,0.10,1.11821,1.11821,1.12821,-25.64,1000257.33
236,2019.05.08 05:25,s/l,79,0.10,1.12018,1.12018,1.11018,-24.97,1000232.36
239,2019.05.09 11:22,s/l,80,0.10,1.11777,1.11777,1.12777,-26.91,1000205.45
242,2019.05.16 17:18,s/l,81,0.10,1.11715,1.11715,1.12715,-29.46,1000175.99
245,2019.05.24 09:10,s/l,82,0.10,1.11964,1.11964,1.10964,-24.77,1000151.22
248,2019.05.29 09:55,s/l,83,0.10,1.11579,1.11579,1.12579,-26.91,1000124.31
251,2019.05.31 17:31,s/l,84,0.10,1.11781,1.11781,1.10781,-24.88,1000099.43
254,2019.05.31 17:52,s/l,85,0.10,1.11543,1.11543,1.12543,-25.00,1000074.43
257,2019.06.03 20:35,t/p,86,0.10,1.12289,1.11289,1.12289,74.36,1000148.79
260,2019.06.05 15:25,t/p,87,0.10,1.13053,1.12053,1.13053,73.73,1000222.52
263,2019.06.05 17:01,s/l,88,0.10,1.12681,1.12681,1.13681,-25.00,1000197.52
266,2019.06.05 18:40,s/l,89,0.10,1.12431,1.12431,1.13431,-25.00,1000172.52
269,2019.06.06 14:55,s/l,90,0.10,1.12652,1.12652,1.11652,-24.91,1000147.60
272,2019.06.07 17:25,t/p,91,0.10,1.13396,1.12396,1.13396,74.36,1000221.97
275,2019.06.10 02:01,s/l,92,0.10,1.13158,1.13158,1.14158,-25.64,1000196.33
278,2019.06.11 20:48,s/l,93,0.10,1.13371,1.13371,1.12371,-24.97,1000171.36
281,2019.06.12 16:46,s/l,94,0.10,1.13080,1.13080,1.14080,-25.64,1000145.72
284,2019.06.14 15:55,t/p,95,0.10,1.12328,1.13328,1.12328,75.12,1000220.84
287,2019.06.20 04:07,s/l,96,0.10,1.12609,1.12609,1.11609,-24.83,1000196.01
290,2019.06.21 19:10,t/p,97,0.10,1.13381,1.12381,1.13381,74.36,1000270.37
293,2019.07.01 10:10,s/l,98,0.10,1.13168,1.13168,1.14168,-30.10,1000240.28
296,2019.07.01 14:05,s/l,99,0.10,1.13411,1.13411,1.12411,-25.00,1000215.28
299,2019.07.05 10:37,t/p,100,0.10,1.12686,1.13686,1.12686,75.17,1000290.45
302,2019.07.23 08:55,t/p,101,0.10,1.11895,1.12895,1.11895,75.46,1000365.92
305,2019.07.25 14:55,t/p,102,0.10,1.11143,1.12143,1.11143,75.12,1000441.03
308,2019.07.31 21:10,s/l,103,0.10,1.10887,1.10887,1.11887,-27.55,1000413.48
311,2019.07.31 21:15,s/l,104,0.10,1.11112,1.11112,1.10112,-25.00,1000388.48
314,2019.08.01 03:52,t/p,105,0.10,1.10463,1.11463,1.10463,75.09,1000463.57
317,2019.08.01 18:35,s/l,106,0.10,1.10655,1.10655,1.09655,-25.00,1000438.57
320,2019.08.05 11:35,t/p,107,0.10,1.11408,1.10408,1.11408,73.73,1000512.30
323,2019.08.14 17:05,s/l,108,0.10,1.11553,1.11553,1.12553,-30.73,1000481.56
326,2019.08.16 15:40,t/p,109,0.10,1.10699,1.11699,1.10699,75.12,1000556.68
329,2019.08.16 17:25,s/l,110,0.10,1.10913,1.10913,1.09913,-25.00,1000531.68
332,2019.08.23 18:07,s/l,111,0.10,1.11231,1.11231,1.10231,-24.80,1000506.88
335,2019.08.26 20:10,s/l,112,0.10,1.10998,1.10998,1.11998,-25.64,1000481.25
338,2019.08.30 17:50,t/p,113,0.10,1.10294,1.11294,1.10294,75.17,1000556.42
341,2019.09.04 12:10,s/l,114,0.10,1.10138,1.10138,1.09138,-24.91,1000531.51
344,2019.09.05 16:55,t/p,115,0.10,1.10844,1.09844,1.10844,73.09,1000604.60
347,2019.09.05 17:22,s/l,116,0.10,1.10603,1.10603,1.11603,-25.00,1000579.60
350,2019.09.05 20:25,s/l,117,0.10,1.10346,1.10346,1.11346,-25.00,1000554.60
353,2019.09.09 15:40,s/l,118,0.10,1.10597,1.10597,1.09597,-24.94,1000529.65
356,2019.09.10 14:10,s/l,119,0.10,1.10348,1.10348,1.11348,-25.64,1000504.02
359,2019.09.12 14:46,s/l,120,0.10,1.10592,1.10592,1.09592,-24.88,1000479.13
362,2019.09.12 14:50,s/l,121,0.10,1.10347,1.10347,1.11347,-25.00,1000454.13
365,2019.09.12 14:52,s/l,122,0.10,1.10053,1.10053,1.11053,-25.00,1000429.13
368,2019.09.12 14:55,s/l,123,0.10,1.09759,1.09759,1.10759,-25.00,1000404.13
371,2019.09.12 15:40,s/l,124,0.10,1.09367,1.09367,1.10367,-25.00,1000379.13
374,2019.09.12 16:20,s/l,125,0.10,1.09708,1.09708,1.08708,-25.00,1000354.13
377,2019.09.12 16:37,s/l,126,0.10,1.10008,1.10008,1.09008,-25.00,1000329.13
380,2019.09.12 16:52,s/l,127,0.10,1.10279,1.10279,1.09279,-25.00,1000304.13
383,2019.09.12 17:37,s/l,128,0.10,1.10614,1.10614,1.09614,-25.00,1000279.13
386,2019.09.16 13:40,s/l,129,0.10,1.10427,1.10427,1.11427,-26.27,1000252.86
389,2019.09.17 18:55,s/l,130,0.10,1.10664,1.10664,1.09664,-24.97,1000227.89
392,2019.09.18 12:10,s/l,131,0.10,1.10388,1.10388,1.11388,-25.64,1000202.25
395,2019.09.18 17:52,s/l,132,0.10,1.10627,1.10627,1.09627,-25.00,1000177.25
398,2019.09.23 10:35,t/p,133,0.10,1.09883,1.10883,1.09883,75.14,1000252.40
401,2019.09.24 15:40,s/l,134,0.10,1.10055,1.10055,1.09055,-24.97,1000227.43
404,2019.09.25 14:55,s/l,135,0.10,1.09809,1.09809,1.10809,-25.64,1000201.79
407,2019.09.26 22:40,t/p,136,0.10,1.09110,1.10110,1.09110,75.09,1000276.88
410,2019.09.27 13:52,s/l,137,0.10,1.09337,1.09337,1.08337,-24.97,1000251.90
413,2019.09.30 14:22,s/l,138,0.10,1.09109,1.09109,1.10109,-25.64,1000226.27
416,2019.10.01 18:38,s/l,139,0.10,1.09337,1.09337,1.08337,-24.97,1000201.30
419,2019.10.02 11:50,s/l,140,0.10,1.09102,1.09102,1.10102,-25.64,1000175.66
422,2019.10.02 14:25,s/l,141,0.10,1.09344,1.09344,1.08344,-25.00,1000150.66
425,2019.10.02 20:22,s/l,142,0.10,1.09598,1.09598,1.08598,-25.00,1000125.66
428,2019.10.11 13:50,t/p,143,0.10,1.10355,1.09355,1.10355,67.99,1000193.65
431,2019.10.11 17:55,s/l,144,0.10,1.10297,1.10297,1.11297,-25.00,1000168.65
434,2019.10.15 15:20,s/l,145,0.10,1.10011,1.10011,1.11011,-26.27,1000142.38
437,2019.10.15 17:25,s/l,146,0.10,1.10258,1.10258,1.09258,-25.00,1000117.38
440,2019.10.16 09:20,s/l,147,0.10,1.10524,1.10524,1.09524,-24.97,1000092.41
443,2019.10.17 12:35,t/p,148,0.10,1.11108,1.10108,1.11108,73.09,1000165.50
446,2019.10.25 16:46,s/l,149,0.10,1.10886,1.10886,1.11886,-30.10,1000135.40
449,2019.10.29 18:03,s/l,150,0.10,1.11187,1.11187,1.10187,-24.94,1000110.46
452,2019.10.30 20:40,s/l,151,0.10,1.10941,1.10941,1.11941,-25.64,1000084.82
455,2019.10.31 02:07,t/p,152,0.10,1.11557,1.10557,1.11557,73.09,1000157.91
458,2019.10.31 16:25,s/l,153,0.10,1.11316,1.11316,1.12316,-25.00,1000132.91
461,2019.10.31 17:40,s/l,154,0.10,1.11564,1.11564,1.10564,-25.00,1000107.91
464,2019.11.05 17:05,t/p,155,0.10,1.10822,1.11822,1.10822,75.09,1000183.00
467,2019.11.12 17:40,t/p,156,0.10,1.10062,1.11062,1.10062,75.20,1000258.20
470,2019.11.15 15:40,s/l,157,0.10,1.10377,1.10377,1.09377,-24.86,1000233.35
473,2019.11.25 11:37,s/l,158,0.10,1.10129,1.10129,1.11129,-30.10,1000203.25
476,2019.12.02 16:05,s/l,159,0.10,1.10375,1.10375,1.09375,-24.80,1000178.45
479,2019.12.11 21:50,t/p,160,0.10,1.11247,1.10247,1.11247,69.27,1000247.72
482,2019.12.12 20:10,s/l,161,0.10,1.11059,1.11059,1.12059,-26.91,1000220.81
485,2019.12.12 22:40,s/l,162,0.10,1.11280,1.11280,1.10280,-25.00,1000195.81
488,2019.12.13 00:07,s/l,163,0.10,1.11525,1.11525,1.10525,-24.97,1000170.84
491,2019.12.13 00:22,s/l,164,0.10,1.11833,1.11833,1.10833,-25.00,1000145.84
494,2019.12.19 17:25,t/p,165,0.10,1.11099,1.12099,1.11099,75.17,1000221.01
497,2019.12.27 10:01,s/l,166,0.10,1.11322,1.11322,1.10322,-24.77,1000196.24
500,2019.12.30 05:16,t/p,167,0.10,1.12092,1.11092,1.12092,74.36,1000270.61
503,2020.01.02 16:40,s/l,168,0.10,1.11728,1.11728,1.12728,-28.18,1000242.42
506,2020.01.02 17:52,s/l,169,0.10,1.11961,1.11961,1.10961,-25.00,1000217.42
509,2020.01.08 13:16,t/p,170,0.10,1.11213,1.12213,1.11213,75.12,1000292.54
512,2020.01.13 18:31,s/l,171,0.10,1.11456,1.11456,1.10456,-24.86,1000267.68
515,2020.01.14 14:16,s/l,172,0.10,1.11217,1.11217,1.12217,-25.64,1000242.05
518,2020.01.15 13:05,s/l,173,0.10,1.11449,1.11449,1.10449,-24.97,1000217.07
521,2020.01.16 17:22,s/l,174,0.10,1.11358,1.11358,1.12358,-26.91,1000190.16
524,2020.01.23 16:25,t/p,175,0.10,1.10625,1.11625,1.10625,75.20,1000265.37
527,2020.01.29 15:23,t/p,176,0.10,1.09951,1.10951,1.09951,75.12,1000340.48
530,2020.01.29 21:55,s/l,177,0.10,1.10193,1.10193,1.09193,-25.00,1000315.48
533,2020.02.05 17:53,s/l,178,0.10,1.09965,1.09965,1.10965,-29.46,1000286.02
536,2020.02.10 17:55,t/p,179,0.10,1.09213,1.10213,1.09213,75.14,1000361.17
539,2020.02.13 16:10,t/p,180,0.10,1.08489,1.09489,1.08489,75.14,1000436.31
542,2020.02.20 09:23,t/p,181,0.10,1.07786,1.08786,1.07786,75.20,1000511.52
545,2020.02.20 11:22,s/l,182,0.10,1.08025,1.08025,1.07025,-25.00,1000486.52
548,2020.02.21 16:46,s/l,183,0.10,1.08280,1.08280,1.07280,-24.97,1000461.55
551,2020.02.26 14:08,t/p,184,0.10,1.09046,1.08046,1.09046,73.09,1000534.63
554,2020.02.26 14:35,s/l,185,0.10,1.08844,1.08844,1.09844,-25.00,1000509.63
557,2020.02.26 15:55,s/l,186,0.10,1.08577,1.08577,1.09577,-25.00,1000484.63
560,2020.02.26 21:40,s/l,187,0.10,1.08979,1.08979,1.07979,-25.00,1000459.63
563,2020.02.27 15:55,t/p,188,0.10,1.09752,1.08752,1.09752,73.09,1000532.72
566,2020.02.28 16:40,s/l,189,0.10,1.09533,1.09533,1.10533,-25.64,1000507.09
569,2020.02.28 17:50,s/l,190,0.10,1.09764,1.09764,1.08764,-25.00,1000482.09
572,2020.02.28 18:10,s/l,191,0.10,1.10022,1.10022,1.09022,-25.00,1000457.09
575,2020.02.28 21:40,s/l,192,0.10,1.10273,1.10273,1.09273,-25.00,1000432.09
578,2020.03.02 13:52,t/p,193,0.10,1.11084,1.10084,1.11084,74.36,1000506.45
581,2020.03.03 17:22,t/p,194,0.10,1.11941,1.10941,1.11941,74.36,1000580.81
584,2020.03.03 17:40,s/l,195,0.10,1.11780,1.11780,1.12780,-25.00,1000555.81
587,2020.03.03 18:10,s/l,196,0.10,1.11554,1.11554,1.12554,-25.00,1000530.81
590,2020.03.04 14:35,s/l,197,0.10,1.11308,1.11308,1.12308,-25.64,1000505.18
593,2020.03.05 11:25,s/l,198,0.10,1.11543,1.11543,1.10543,-24.91,1000480.26
596,2020.03.06 03:55,t/p,199,0.10,1.12457,1.11457,1.12457,74.36,1000554.63
599,2020.03.06 08:40,s/l,200,0.10,1.12213,1.12213,1.13213,-25.00,1000529.63
602,2020.03.06 17:25,s/l,201,0.10,1.12920,1.12920,1.13920,-25.00,1000504.63
605,2020.03.09 00:37,t/p,202,0.10,1.13628,1.12628,1.13628,74.36,1000578.99
608,2020.03.09 03:50,t/p,203,0.10,1.14357,1.13357,1.14357,75.00,1000653.99
611,2020.03.09 04:03,s/l,204,0.10,1.14180,1.14180,1.15180,-25.00,1000628.99
614,2020.03.09 04:55,s/l,205,0.10,1.13896,1.13896,1.14896,-25.00,1000603.99
617,2020.03.09 09:25,t/p,206,0.10,1.14618,1.13618,1.14618,75.00,1000678.99
620,2020.03.09 10:16,s/l,207,0.10,1.14138,1.14138,1.15138,-25.00,1000653.99
623,2020.03.09 11:07,s/l,208,0.10,1.13885,1.13885,1.14885,-25.00,1000628.99
626,2020.03.09 15:52,s/l,209,0.10,1.14109,1.14109,1.15109,-25.00,1000603.99
629,2020.03.10 01:37,s/l,210,0.10,1.14142,1.14142,1.15142,-25.64,1000578.35
632,2020.03.10 07:55,t/p,211,0.10,1.13347,1.14347,1.13347,75.00,1000653.35
635,2020.03.10 08:07,s/l,212,0.10,1.13565,1.13565,1.12565,-25.00,1000628.35
638,2020.03.10 10:05,s/l,213,0.10,1.13886,1.13886,1.12886,-25.00,1000603.35
641,2020.03.10 14:25,s/l,214,0.10,1.13846,1.13846,1.12846,-25.00,1000578.35
644,2020.03.10 16:10,s/l,215,0.10,1.13587,1.13587,1.14587,-25.00,1000553.35
647,2020.03.10 20:40,t/p,216,0.10,1.12957,1.13957,1.12957,75.00,1000628.35
650,2020.03.11 01:53,s/l,217,0.10,1.13217,1.13217,1.12217,-24.97,1000603.38
653,2020.03.11 07:10,s/l,218,0.10,1.13479,1.13479,1.12479,-25.00,1000578.38
656,2020.03.11 10:07,s/l,219,0.10,1.13236,1.13236,1.14236,-25.00,1000553.38
659,2020.03.12 03:20,s/l,220,0.10,1.13095,1.13095,1.12095,-24.91,1000528.47
662,2020.03.12 06:25,s/l,221,0.10,1.12943,1.12943,1.13943,-25.00,1000503.47
665,2020.03.12 10:25,s/l,222,0.10,1.12688,1.12688,1.13688,-25.00,1000478.47
668,2020.03.12 11:55,s/l,223,0.10,1.12398,1.12398,1.13398,-25.00,1000453.47
671,2020.03.12 14:52,s/l,224,0.10,1.12621,1.12621,1.11621,-25.00,1000428.47
674,2020.03.12 14:55,s/l,225,0.10,1.12979,1.12979,1.11979,-25.00,1000403.47
677,2020.03.12 14:59,t/p,226,0.10,1.12261,1.13261,1.12261,75.00,1000478.47
680,2020.03.12 15:07,s/l,227,0.10,1.12401,1.12401,1.11401,-25.00,1000453.47
683,2020.03.12 16:08,t/p,228,0.10,1.11665,1.12665,1.11665,75.00,1000528.47
686,2020.03.12 16:13,s/l,229,0.10,1.11569,1.11569,1.10569,-25.00,1000503.47
689,2020.03.12 17:38,t/p,230,0.10,1.10958,1.11958,1.10958,75.00,1000578.47
692,2020.03.12 18:50,s/l,231,0.10,1.11147,1.11147,1.10147,-25.00,1000553.47
695,2020.03.12 18:55,s/l,232,0.10,1.11490,1.11490,1.10490,-25.00,1000528.47
698,2020.03.12 19:31,s/l,233,0.10,1.11889,1.11889,1.10889,-25.00,1000503.47
701,2020.03.12 22:16,s/l,234,0.10,1.12196,1.12196,1.11196,-25.00,1000478.47
704,2020.03.13 13:45,t/p,235,0.10,1.11460,1.12460,1.11460,75.03,1000553.50
707,2020.03.13 14:07,s/l,236,0.10,1.11702,1.11702,1.10702,-25.00,1000528.50
710,2020.03.13 16:40,t/p,237,0.10,1.11015,1.12015,1.11015,75.00,1000603.50
713,2020.03.16 00:00,s/l,238,0.10,1.11239,1.11239,1.10239,-24.97,1000578.53
716,2020.03.16 02:38,s/l,239,0.10,1.11321,1.11321,1.12321,-25.00,1000553.53
719,2020.03.16 03:25,s/l,240,0.10,1.10929,1.10929,1.11929,-25.00,1000528.53
722,2020.03.16 07:10,s/l,241,0.10,1.11088,1.11088,1.12088,-25.00,1000503.53
725,2020.03.16 10:07,t/p,242,0.10,1.11835,1.10835,1.11835,75.00,1000578.53
728,2020.03.16 12:22,s/l,243,0.10,1.11629,1.11629,1.12629,-25.00,1000553.53
731,2020.03.16 15:22,s/l,244,0.10,1.11375,1.11375,1.12375,-25.00,1000528.53
734,2020.03.16 15:33,s/l,245,0.10,1.11110,1.11110,1.12110,-25.00,1000503.53
737,2020.03.16 17:20,s/l,246,0.10,1.11270,1.11270,1.10270,-25.00,1000478.53
740,2020.03.16 18:07,s/l,247,0.10,1.11522,1.11522,1.10522,-25.00,1000453.53
743,2020.03.16 22:20,s/l,248,0.10,1.11783,1.11783,1.10783,-25.00,1000428.53
746,2020.03.16 23:25,s/l,249,0.10,1.11611,1.11611,1.12611,-25.00,1000403.53
749,2020.03.17 09:40,s/l,250,0.10,1.11310,1.11310,1.12310,-25.64,1000377.89
752,2020.03.17 12:40,t/p,251,0.10,1.10544,1.11544,1.10544,75.00,1000452.89
755,2020.03.17 14:40,t/p,252,0.10,1.09743,1.10743,1.09743,75.00,1000527.89
758,2020.03.17 15:37,s/l,253,0.10,1.09981,1.09981,1.08981,-25.00,1000502.89
761,2020.03.18 05:55,s/l,254,0.10,1.10285,1.10285,1.09285,-24.97,1000477.92
764,2020.03.18 08:55,s/l,255,0.10,1.10031,1.10031,1.11031,-25.00,1000452.92
767,2020.03.18 15:25,t/p,256,0.10,1.09250,1.10250,1.09250,75.00,1000527.92
770,2020.03.18 17:52,t/p,257,0.10,1.08457,1.09457,1.08457,75.00,1000602.92
773,2020.03.18 20:25,s/l,258,0.10,1.08710,1.08710,1.07710,-25.00,1000577.92
776,2020.03.18 22:07,s/l,259,0.10,1.09072,1.09072,1.08072,-25.00,1000552.92
779,2020.03.19 00:55,s/l,260,0.10,1.09321,1.09321,1.08321,-24.91,1000528.00
782,2020.03.19 02:52,s/l,261,0.10,1.09091,1.09091,1.10091,-25.00,1000503.00
785,2020.03.19 04:55,s/l,262,0.10,1.08834,1.08834,1.09834,-25.00,1000478.00
788,2020.03.19 10:10,t/p,263,0.10,1.08165,1.09165,1.08165,75.00,1000553.00
791,2020.03.19 11:31,s/l,264,0.10,1.08624,1.08624,1.07624,-25.00,1000528.00
794,2020.03.19 12:55,t/p,265,0.10,1.07903,1.08903,1.07903,75.00,1000603.00
797,2020.03.19 14:52,s/l,266,0.10,1.08074,1.08074,1.07074,-25.00,1000578.00
800,2020.03.19 17:50,t/p,267,0.10,1.07421,1.08421,1.07421,75.00,1000653.00
803,2020.03.19 18:55,t/p,268,0.10,1.06616,1.07616,1.06616,75.00,1000728.00
806,2020.03.19 19:10,s/l,269,0.10,1.06852,1.06852,1.05852,-25.00,1000703.00
809,2020.03.19 22:40,s/l,270,0.10,1.07046,1.07046,1.06046,-25.00,1000678.00
812,2020.03.20 03:52,s/l,271,0.10,1.07296,1.07296,1.06296,-24.97,1000653.03
815,2020.03.20 05:10,s/l,272,0.10,1.07204,1.07204,1.08204,-25.00,1000628.03
818,2020.03.20 09:37,t/p,273,0.10,1.07917,1.06917,1.07917,75.00,1000703.03
821,2020.03.20 11:10,s/l,274,0.10,1.07744,1.07744,1.08744,-25.00,1000678.03
824,2020.03.20 11:37,s/l,275,0.10,1.07471,1.07471,1.08471,-25.00,1000653.03
827,2020.03.20 11:55,s/l,276,0.10,1.07207,1.07207,1.08207,-25.00,1000628.03
830,2020.03.20 15:20,s/l,277,0.10,1.06905,1.06905,1.07905,-25.00,1000603.03
833,2020.03.20 15:40,s/l,278,0.10,1.07132,1.07132,1.06132,-25.00,1000578.03
836,2020.03.20 16:25,s/l,279,0.10,1.07451,1.07451,1.06451,-25.00,1000553.03
839,2020.03.20 17:55,t/p,280,0.10,1.06743,1.07743,1.06743,75.00,1000628.03
842,2020.03.20 18:10,s/l,281,0.10,1.07080,1.07080,1.06080,-25.00,1000603.03
845,2020.03.20 20:40,t/p,282,0.10,1.06389,1.07389,1.06389,75.00,1000678.03
848,2020.03.20 21:52,s/l,283,0.10,1.06650,1.06650,1.05650,-25.00,1000653.03
851,2020.03.20 22:38,s/l,284,0.10,1.06918,1.06918,1.05918,-25.00,1000628.03
854,2020.03.23 01:10,s/l,285,0.10,1.06801,1.06801,1.05801,-25.00,1000603.03
857,2020.03.23 02:18,s/l,286,0.10,1.07046,1.07046,1.06046,-25.00,1000578.03
